scenario,shock_factor,sale_week,home_count,feedback_multiplier_used,feedback_sample_count,current_week_sale_ratio,baseline_mape,feedback_mape,baseline_overpay_rate,feedback_overpay_rate,baseline_average_net_pnl_proxy,feedback_average_net_pnl_proxy,baseline_negative_pnl_rate,feedback_negative_pnl_rate,average_offer_change_pct
downside_5pct,0.95,2015-05-25,1,1.0064494986131713,1089,1.2660169368824818,0.2101211517260886,0.20502682918957266,0.0,0.0,306740.4808958756,301013.45821888896,0.0,0.0,0.006449498613171383
downside_10pct,0.9,2015-03-09,309,1.0,0,0.9090145300308785,0.16203079134931608,0.16203079134931608,0.44336569579288027,0.44336569579288027,6267.341857997943,6267.341857997943,0.5728155339805825,0.5728155339805825,0.0
downside_10pct,0.9,2015-03-16,427,0.9090145300308785,309,0.9240471751584548,0.1404482177231326,0.10829519673781235,0.37236533957845436,0.1405152224824356,11547.807034559779,52426.58818939267,0.531615925058548,0.2224824355971897,-0.09098546996912149
downside_10pct,0.9,2015-03-23,546,0.9171738762639245,736,0.919566683495036,0.1608641134304046,0.12393510825488366,0.4194139194139194,0.18681318681318682,2905.486474095946,41414.66024516961,0.5604395604395604,0.26373626373626374,-0.08282612373607545
downside_10pct,0.9,2015-03-30,440,0.9185440594139815,1282,0.9241874080160172,0.14011686416119798,0.1136992193892031,0.36818181818181817,0.15454545454545454,14010.67379911637,54103.12880250417,0.5113636363636364,0.20227272727272727,-0.08145594058601847
downside_10pct,0.9,2015-04-06,493,0.9197259613885297,1722,0.9352378819083537,0.13859960967340684,0.11662486587466761,0.35699797160243407,0.1643002028397566,16791.971672854637,54067.391160259125,0.48073022312373226,0.2413793103448276,-0.08027403861147031
downside_10pct,0.9,2015-04-13,459,0.9244937293864854,1906,0.9339642173362619,0.13716240680215278,0.11194017569500939,0.35076252723311546,0.1503267973856209,16952.920624261093,52507.14503788009,0.4793028322440087,0.23529411764705882,-0.07550627061351456
downside_10pct,0.9,2015-04-20,559,0.9285728205913935,1938,0.9445923407494087,0.13216290951605147,0.11284733277656529,0.32021466905187834,0.1520572450805009,16833.44860621093,51143.74929036477,0.44364937388193204,0.2146690518783542,-0.07142717940860656
downside_10pct,0.9,2015-04-27,537,0.9360118504204472,1951,0.948352077383646,0.13493260023946746,0.1180712863899952,0.31098696461824954,0.1378026070763501,20226.87554631154,48998.04836369442,0.42830540037243947,0.2346368715083799,-0.06398814957955279
downside_10pct,0.9,2015-05-04,419,0.9415513990867093,2048,0.9553748616879405,0.14221720847225314,0.12692224215035938,0.2577565632458234,0.1718377088305489,24780.572281292243,50917.170670524596,0.4105011933174224,0.22673031026252982,-0.05844860091329074
downside_10pct,0.9,2015-05-11,132,0.9453516616514007,1974,0.9568524266262611,0.14467679341322998,0.13248764559516138,0.2878787878787879,0.16666666666666666,41009.10179005763,65469.93455443599,0.4090909090909091,0.23484848484848486,-0.05464833834859928
downside_10pct,0.9,2015-05-18,1,0.9510514429410156,1647,1.021123556219998,0.020686582041250057,0.06862256075883293,0.0,0.0,42008.97017017001,58793.57869149407,0.0,0.0,-0.048948557058984384
downside_10pct,0.9,2015-05-25,1,0.9534784723703729,1089,1.199384466520246,0.1662389934886491,0.20502682918957263,0.0,0.0,243860.4808958756,285170.64462842117,0.0,0.0,-0.04652152762962716
downside_15pct,0.85,2015-03-09,309,1.0,0,0.8585137228069408,0.2098053735357201,0.2098053735357201,0.6084142394822006,0.6084142394822006,-19368.401675982637,-19368.401675982637,0.7216828478964401,0.7216828478964401,0.0
downside_15pct,0.85,2015-03-16,427,0.8585137228069408,309,0.872711220982985,0.18497043307256406,0.10829519673781235,0.5714285714285714,0.1405152224824356,-14054.244112981207,49513.99995664863,0.7072599531615925,0.2224824355971897,-0.14148627719305917
downside_15pct,0.85,2015-03-23,546,0.8662197720270397,736,0.8684796455230895,0.20966220440302305,0.12393510825488363,0.6117216117216118,0.18681318681318682,-23085.92662480515,39113.8457871047,0.7362637362637363,0.26373626373626374,-0.1337802279729603
downside_15pct,0.85,2015-03-30,440,0.8675138338909826,1282,0.8728436631262384,0.18170464812709194,0.1136992193892031,0.5681818181818182,0.15454545454545454,-14112.033000883632,51097.399424587275,0.6590909090909091,0.20227272727272727,-0.13248616610901742
downside_15pct,0.85,2015-04-06,493,0.8686300746447225,1722,0.883280221802334,0.1765197466790326,0.11662486587466761,0.5354969574036511,0.1643002028397566,-9938.255280492216,51063.64720691137,0.6227180527383367,0.2413793103448276,-0.13136992535527747
downside_15pct,0.85,2015-04-13,459,0.8731329666427916,1906,0.8820773163731362,0.17918582680871337,0.11194017569500937,0.5446623093681917,0.1503267973856209,-10148.784473778123,49590.08142466463,0.664488017429194,0.23529411764705882,-0.1268670333572084
downside_15pct,0.85,2015-04-20,559,0.8769854416696494,1938,0.8921149884855526,0.171284766106137,0.1128473327765653,0.5044722719141324,0.1520572450805009,-10788.052474289963,48302.42988534448,0.6332737030411449,0.2146690518783542,-0.12301455833035058
downside_15pct,0.85,2015-04-27,537,0.8840111920637557,1951,0.8956658508623323,0.17240354253416326,0.1180712863899952,0.48789571694599626,0.1378026070763501,-5876.441459275051,46275.934565711395,0.6070763500931099,0.2346368715083799,-0.11598880793624432
downside_15pct,0.85,2015-05-04,419,0.8892429880263366,2048,0.9022984804830549,0.17662165520771056,0.12692224215035938,0.47255369928400953,0.1718377088305489,-1439.0346685884267,48088.43896660652,0.6014319809069213,0.22673031026252982,-0.1107570119736634
downside_15pct,0.85,2015-05-11,132,0.8928321248929896,1974,0.9036939584803577,0.1742630588709111,0.13248764559516138,0.45454545454545453,0.16666666666666666,13863.911244603087,61832.715968078424,0.5606060606060606,0.23484848484848486,-0.10716787510701042
downside_15pct,0.85,2015-05-18,1,0.8982152516665147,1647,0.9643944697633314,0.03692008960338229,0.06862256075883295,0.0,0.0,20624.97017017001,55527.26876418886,0.0,0.0,-0.10178474833348532
downside_15pct,0.85,2015-05-25,1,0.9005074461275744,1089,1.1327519961580101,0.11719422839974611,0.2050268291895726,0.0,0.0,180980.4808958756,269327.83103795326,0.0,0.0,-0.09949255387242559
